Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Joe Mazzone,Skateboard,Skateboard,Ages 19 - 29, False
Team USA,Skateboard,Team,, True
Angel Miguel Aldrete,Skateboard,Skateboard,Ages 19 - 29, False
Mathieu Bon,Skateboard,Skateboard,Ages 30 - 39, False
Adrian Oh,Skateboard,Skateboard,Ages 30 - 39, False
Calleigh Little,Skateboard,Skateboard,Ages 19 - 29, False
Jorge Navarro,Skateboard,Skateboard,Ages 40 - 49, False
Ralf Merz,Skateboard,Skateboard,Ages 40 - 49, False
Ian Whyte,Skateboard,Skateboard,Ages 50+, False
Spencer Steelman,Skateboard,Skateboard,Ages 19 - 29, False
Julian F. Rodriguez,Skateboard,Skateboard,Ages 19 - 29, False
Maxwell Frank,Skateboard,Skateboard,Ages 19 - 29, False
Phillip Scearce,Skateboard,Skateboard,Ages 50+, False
Alyssa Monteiro,Skateboard,Skateboard,Ages 19 - 29, False
Jonathan Lee,Skateboard,Skateboard,Ages 19 - 29, False
Randall Mcclelland,Skateboard,Skateboard,Ages 40 - 49, False
Geran Fredrick,Skateboard,Skateboard,Ages 19 - 29, False
Raymond Tan,Skateboard,Skateboard,Ages 50+, False
Francisco L. Rodriguez,Skateboard,Skateboard,Ages 40 - 49, False
Anne Palmer,Skateboard,Skateboard,Ages 50+, False
Daniel Dimassa,Skateboard,Skateboard,Ages 30 - 39, False
Salty Dingman,Skateboard,Skateboard,Ages 19 - 29, False
Team Germany,Skateboard,Team,, True
Leonard Leffler,Skateboard,Skateboard,Ages 40 - 49, False
Ehren Mohammadi,Skateboard,Skateboard,Ages 19 - 29, False
Mark Harris,Skateboard,Skateboard,Ages 19 - 29, False
Raveena Minor,Skateboard,Skateboard,Ages 19 - 29, False
Joe Gerin,Skateboard,Skateboard,Ages 19 - 29, False
Rick Stubblefield,Skateboard,Skateboard,Ages 50+, False
Barry Weiner,Skateboard,Skateboard,Ages 50+, False
Eduardo Machado,Skateboard,Skateboard,Ages 30 - 39, False
Brian Joseph,Skateboard,Skateboard,Ages 19 - 29, False
Sirena Andras,Skateboard,Skateboard,Ages 40 - 49, False
Stefan Gransow,Skateboard,Skateboard,Ages 30 - 39, False
Alize Burgin,Skateboard,Skateboard,Ages 19 - 29, False
Matthew Ayres,Skateboard,Skateboard,Ages 40 - 49, False
Hopemarie Jackson,Skateboard,Skateboard,Ages 19 - 29, False
Joseph Burnham,Skateboard,Skateboard,Ages 30 - 39, False
Michael Richmond,Skateboard,Skateboard,Ages 19 - 29, False
Anthony Mao,Skateboard,Skateboard,Ages 30 - 39, False
Chip Walter,Paddle,Stand UP Paddle,, False
Kevin Baron,Skateboard,Skateboard,Ages 40 - 49, False
Timothy Payne,Paddle Push,Paddle Push,, False
Angela Kuhn,Skateboard,Skateboard,Ages 40 - 49, False
Jessica Valdes,Skateboard,Skateboard,Ages 14 - 18, False
John Boyle,Skateboard,Skateboard,Ages 30 - 39, False
Jorge Rodriguez,Paddle,Stand UP Paddle,, False
Ben Cochran,Skateboard,Skateboard,Ages 30 - 39, False
Ryan Porter,Skateboard,Skateboard,Ages 40 - 49, False
Harley Waggoner,Skateboard,Skateboard,Ages 30 - 39, False
Jared Perkins,Skateboard,Skateboard,Ages 19 - 29, False
Jon Andras,Skateboard,Skateboard,Ages 40 - 49, False
Nick Verneau,Skateboard,Skateboard,Ages 19 - 29, False
Geo Pagan,Skateboard,Skateboard,Ages 19 - 29, False
Frank Tingo,Skateboard,Skateboard,Ages 40 - 49, False
Juan Malave,Skateboard,Skateboard,Ages 19 - 29, False
Lorenzo Leffler,Skateboard,Skateboard,Ages 19 - 29, False
Ronald Lewis,Paddle Push,Paddle Push,, False
Steve Gatlin,Paddle,Stand UP Paddle,, False
Julia Seifer-Smith,Paddle,Stand UP Paddle,, False
Andrew Andras,Skateboard,Skateboard,Ages 40 - 49, False
Ian Ybanez,Skateboard,Skateboard,Ages 19 - 29, False
Ryan Gutierrez,Skateboard,Skateboard,Ages 19 - 29, False
Kenny Spranzo,Skateboard,Skateboard,Ages 19 - 29, False
Deaubrey Spence,Skateboard,Skateboard,Ages 19 - 29, False
Joseph Williams,Skateboard,Skateboard,Ages 50+, False
Peter Jones,Skateboard,Skateboard,Ages 40 - 49, False
Team Andras Kids,Skateboard,Team,, True
Adrian F. Rodriguez,Skateboard,Skateboard,Ages 01 - 13, False
Freddie Valdes,Paddle Push,Paddle Push,, False
Kaiam Whyte,Skateboard,Skateboard,Ages 01 - 13, False
Chris Kuhn,Skateboard,Skateboard,Ages 30 - 39, False
Dekai Navarro,Skateboard,Skateboard,Ages 14 - 18, False
Scott Warrior,Skateboard,Skateboard,Ages 50+, False
Sierra Porter,Skateboard,Skateboard,Ages 01 - 13, False
Micah Willis,Paddle Push,Paddle Push,, False
Evey Hammond,Skateboard,Skateboard,Ages 40 - 49, False
Annie Kritzler,Skateboard,Skateboard,Ages 01 - 13, False
Hun Gover,Skateboard,Skateboard,Ages 40 - 49, False
Brooks Miller,Paddle Push,Paddle Push,, False
Zack Knezevic,Skateboard,Skateboard,Ages 30 - 39, False
